Food_items,Category,Calories,Fats,Protein,Iron,Carbohydrates,Fibre,Sugar,Meal_Type,Sodium,Vegetarian,Vegan
Chicken Breast,Protein,279,11.2,26.6,1.3,46.2,7.5,7.4,Dinner,371,FALSE,FALSE
Salmon,Protein,324,21.6,9.5,8.7,36.3,5.1,46.5,Lunch,228,FALSE,FALSE
2 Boiled Eggs,Protein,531,31.6,48.2,1.4,74.2,4.7,47.8,Lunch,260,TRUE,FALSE
Tofu cubes,Protein,187,4.9,40.4,7.6,62.6,14.9,38.2,Snack,239,TRUE,TRUE
Lentils,Protein,309,15.6,44.8,9.1,76.1,14.2,8.6,Breakfast,234,TRUE,TRUE
Goat Meat,Protein,218,10.3,5.5,9.7,45.8,2.1,13.9,Lunch,69,FALSE,FALSE
Turkey,Protein,521,30.4,5.9,2.3,71.5,9.8,6.2,Dinner,327,FALSE,FALSE
Fried Shrimp,Protein,361,7,42.9,0.3,70.6,12.5,48.2,Lunch,337,FALSE,FALSE
Tuna,Protein,397,17.4,16.3,1,19.8,5.5,28.7,Dinner,56,FALSE,FALSE
Cottage Cheese,Protein,327,31.3,39.5,0.5,8.6,12.3,8.7,Snack,425,TRUE,FALSE
Soaked Almonds,Protein,69,1.5,13.2,2.1,79.2,10.6,35,Snack,484,TRUE,TRUE
Peanut Butter and Bread,Protein,245,22.5,16.6,5.8,40.1,5.6,1,Breakfast,383,TRUE,TRUE
Walnuts,Protein,550,22.4,7.2,8.1,36,4.1,40,Breakfast,321,TRUE,TRUE
Chia Seeds,Protein,323,10.8,27,2,31.7,10.1,14.8,Snack,315,TRUE,TRUE
Sunflower Seeds,Protein,466,23.8,48.6,3.8,66.2,12.8,8.2,Snack,133,TRUE,TRUE
Chickpeas,Protein,137,35.1,14,9.5,46.9,12.3,42.8,Breakfast,263,TRUE,TRUE
Brown Rice,Grain,308,35.9,9.1,0.7,47.6,6.4,12.6,Lunch,408,TRUE,TRUE
Quinoa,Grain,91,36.8,27.9,5.6,58.4,13.5,13.8,Snack,34,TRUE,TRUE
Oats,Grain,449,21.5,23.8,7.7,70.9,9.3,9,Breakfast,99,TRUE,TRUE
Whole Wheat Bread,Grain,112,29.7,36.4,6.5,78,6.4,5.9,Snack,162,TRUE,TRUE
Barley Based Meal,Grain,479,20.2,37.1,2.3,47.3,5.8,38,Dinner,198,TRUE,TRUE
Cornmeal,Grain,440,32.9,37.4,7.7,18.5,3.4,22.7,Dinner,354,TRUE,TRUE
Millets,Grain,153,7.5,16.6,2,4.5,9.5,7.6,Lunch,43,TRUE,TRUE
Buckwheat,Grain,78,18.8,13.2,6.4,13,6.2,39.7,Snack,126,TRUE,TRUE
Broccoli,Vegetable,412,20.1,48.4,7.4,11.5,14.8,30.6,Lunch,309,TRUE,TRUE
Spinach,Vegetable,89,10.8,29.3,7.6,18.4,8,25.3,Dinner,141,TRUE,TRUE
Carrots,Vegetable,550,23.8,25.7,7.8,33.5,9.2,42.3,Lunch,411,TRUE,TRUE
Capsicum,Vegetable,202,11.8,5.5,5.8,58.3,0.2,43.1,Lunch,473,TRUE,TRUE
Salad,Vegetable,494,10.7,37.6,2.5,45.7,3.2,44,Dinner,199,TRUE,TRUE
Cabbage,Vegetable,81,3.9,49.1,7.6,49.2,11.2,30.3,Dinner,98,TRUE,TRUE
Cucumber,Vegetable,56,13.8,14.6,4.2,28.8,10.2,43,Lunch,56,TRUE,TRUE
Cauliflower,Vegetable,170,12,15.6,3.2,42.7,10.6,31.2,Lunch,334,TRUE,TRUE
Mushrooms,Vegetable,490,4.9,19.4,3,7.8,3.8,20.8,Dinner,319,TRUE,TRUE
Brinjal,Vegetable,452,15.2,35.8,7.1,19.5,0.3,44.8,Dinner,232,TRUE,TRUE
Green Beans,Vegetable,187,6.6,35.7,1.2,57.2,8.5,10.4,Dinner,486,TRUE,TRUE
Sweet Potato,Vegetable,265,12.6,40.7,7.1,52.5,10.6,14.8,Snack,479,TRUE,TRUE
Asparagus,Vegetable,481,14,36.6,2.4,24.1,0.9,13,Lunch,10,TRUE,TRUE
Lettuce,Vegetable,357,18.3,14.7,5,52.9,5.9,42.9,Dinner,420,TRUE,TRUE
Raw Kale,Vegetable,56,33.9,8.6,6,1,3.8,37.8,Breakfast,480,TRUE,TRUE
Sprouts,Vegetable,576,25,33.5,7.5,49.2,2.4,44,Snack,466,TRUE,TRUE
Peas Vegetable,Vegetable,77,4.6,27.8,9.7,33.1,11.6,33.9,Snack,373,TRUE,TRUE
Banana with Milk,Fruit,334,5.4,17.2,4.9,59.9,4.6,22.4,Breakfast,471,TRUE,TRUE
Apple,Fruit,586,25.5,31.3,5.6,69,12.5,33.9,Snack,203,TRUE,TRUE
Orange,Fruit,202,27.3,17.9,1.6,11.5,3.9,33.8,Breakfast,457,TRUE,TRUE
Strawberries,Fruit,564,4.3,8,7.3,49.8,3.9,24.8,Snack,217,TRUE,TRUE
Blueberries,Fruit,487,7.6,12,8,2.9,0.3,40.1,Lunch,48,TRUE,TRUE
Pineapple,Fruit,100,25.1,47.5,8.4,18.6,2.6,25.8,Snack,145,TRUE,TRUE
Mango Milkshake,Fruit,193,39.6,5.1,0.9,77,10.5,43.2,Lunch,224,TRUE,TRUE
Grapes,Fruit,78,27.1,18.2,0.4,65.2,8,12.4,Snack,343,TRUE,TRUE
